SCHED 504ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21530 [ 75 1 ] schedticks=[ 455 531 ]
SCHED 515ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21530 [ 65 1 ] schedticks=[ 466 531 ]
SCHED 527ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21530 [ 65 1 ] schedticks=[ 466 532 ]
SCHED 539ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21530 [ 50 1 ] schedticks=[ 482 532 ]
SCHED 549ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21529 [ 38 0 ] schedticks=[ 495 533 ]
SCHED 562ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21529 [ 23 0 ] schedticks=[ 511 533 ]
SCHED 575ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21400 [ 16 112 ] schedticks=[ 518 550 ]
SCHED 585ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21400 [ 16 99 ] schedticks=[ 518 564 ]
SCHED 596ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21400 [ 2 94 ] schedticks=[ 532 569 ]
SCHED 609ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21400 [ 3 94 ] schedticks=[ 532 570 ]
SCHED 622ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21400 [ 2 78 ] schedticks=[ 533 586 ]
