SCHED 468ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2204 [ 91 99 ] schedticks=[ 473 415 ]
SCHED 480ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2203 [ 91 86 ] schedticks=[ 473 429 ]
SCHED 490ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2204 [ 77 72 ] schedticks=[ 487 443 ]
SCHED 502ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2203 [ 63 65 ] schedticks=[ 502 450 ]
SCHED 514ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2203 [ 48 65 ] schedticks=[ 517 450 ]
SCHED 526ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2204 [ 40 48 ] schedticks=[ 525 467 ]
SCHED 537ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2204 [ 40 35 ] schedticks=[ 525 480 ]
SCHED 548ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2204 [ 25 21 ] schedticks=[ 540 495 ]
SCHED 561ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2203 [ 9 14 ] schedticks=[ 557 502 ]
SCHED 572ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2075 [ 124 14 ] schedticks=[ 570 502 ]
SCHED 584ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1948 [ 121 125 ] schedticks=[ 573 519 ]
SCHED 597ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1948 [ 121 109 ] schedticks=[ 573 535 ]
SCHED 608ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1949 [ 107 96 ] schedticks=[ 588 548 ]
